EquipmentNumber,Region,Destination,DMFCategory,StartGridRefEN,TypeofInstall,InstallLocation,TypeOf,CounterNetwork,CounterType,active,date,longitude,latitude
100098566,WSI,Pororari River Track,Gateway,1462950-5336755,Long term,Pororari River Track,Pedestrian Counter - Pad,National,Counter Electronic V,blue,2021-04-27,171.342342042193,-42.1093326408368
100098827,HWT,North Taranaki backcountry,Back Country,1748132-5684421,Long term,Moki Track,Pedestrian Counter - Pad,National,Counter Electronic V,blue,2021-04-14,174.710079178066,-38.9766758888247
100099355,ESI,Tasman Glacier walks,Icon,1367357-5153015,Long term,Tasman Valley Road,Vehicle Counter - Low Speed,National,Counter Electronic V,blue,2021-05-29,170.110949432982,-43.7393894524638
100099356,ESI,Hooker/Mueller tracks,Icon,1366718-5153444,Long term,White Horse Hill / Hooker Road,Vehicle Counter - Low Speed,National,Counter Electronic V,blue,2021-05-28,170.103210216729,-43.73533094658
100099403,LNI,Woodville/Pahiatua walks/biking,Local Treasure,1838524-5530596,Long term,Hall Block MTB Track,Bicycle Counter - Twin Rail,National,Counter Electronic V,yellow,2020-08-04,175.808179623846,-40.3411125441323
100099748,ESI,Hanmer Rainbow Road/Lake Tennyson,Local Treasure,1583238-5300951,Long term,Williams Stream,,National,Counter Electronic V,navy,2021-08-02,172.796181835247,-42.4435850899285
100100064,ESI,Local Body - Aoraki/Mt Cook,Non Specific,1368465-5149858,Long term,"State Hway 80, North bound",Vehicle Counter - High Speed,National,Counter Electronic V,blue,2021-05-29,170.123331154569,-43.7681257146447
100100065,ESI,Local Body - Aoraki/Mt Cook,Non Specific,1368465-5149858,Long term,"State Hway 80, South bound",Vehicle Counter - High Speed,National,Counter Electronic V,blue,2021-05-29,170.123331154569,-43.7681257146447
100101081,SSI,West Matukituki tracks,Gateway,1260154-5063130,Long term,Rob Roy Track,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-07-29,168.724787123937,-44.5050844292217
100101142,WSI,Paparoa coast activities,Local Treasure,1462631-5338683,Long term,Truman Track,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-07-25,171.338938414133,-42.0919196098586
100101144,WSI,Old Ghost Road,Back Country,1520010-5399791,Long term,"Old Ghost Rd, Mohikinui MTB",Bicycle Counter - Twin Rail,National,Counter Electronic V,navy,2021-07-26,172.040882692561,-41.5495470335994
100101145,WSI,Old Ghost Road,Back Country,1522210-5372585,Long term,"Old Ghost Rd, Lyell MTB",Bicycle Counter - Twin Rail,National,Counter Electronic V,navy,2021-07-25,172.063714199712,-41.7947807875031
100101170,NSI,Queen Charlotte Track,Gateway,1678051-5431912,Long term,Queen Charlotte Tk Anakiwa MTB,Bicycle Counter - Twin Rail,Regional,Counter Electronic V,navy,2021-07-15,173.931728659727,-41.2604438709503
100101171,NSI,Queen Charlotte Track,Gateway,1686725-5437709,Long term,"Queen Charlotte Tk, Torea MTB",Bicycle Counter - Twin Rail,Regional,Counter Electronic V,navy,2021-06-12,174.034435126412,-41.2073493296061
100101191,CNI,Rotorua Lakes activities and campsites,Local Treasure,1895170-5753750,Long term,Rainbow Mountain MTB Loop,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-08-04,176.376022401114,-38.3158028087321
100101195,WSI,Reefton/Victoria Range backcountry,Back Country,1510551-5342061,Long term,"Kirwans Loop Track, MTB",Bicycle Counter - Twin Rail,Regional,Counter Electronic V,blue,2021-05-06,171.918775489659,-42.068425494653
100101196,WSI,Greymouth/Lake Brunner walks,Local Treasure,1456437-5303359,Long term,Coal Creek Walk,Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-08-13,171.255329636727,-42.4088018311188
100101197,WSI,Lake Mahinapua,Gateway,1430062-5262611,Long term,"Mananui Tramline Track, MTB",Bicycle Counter - Twin Rail,Regional,Counter Electronic V,navy,2021-06-23,170.92284506641,-42.7702030272828
100101198,WSI,Lake Mahinapua,Gateway,1431922-5258700,Long term,Mananui Tramline Track,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-06-23,170.944400732416,-42.8058105630206
100101368,ESI,Port Hills walks,Gateway,1577439-5172980,Long term,Major Hornbrook Track,,National,Counter Electronic V,navy,2021-07-14,172.720490486062,-43.5958110009163
100101369,ESI,Craigeburn Forest Park activities,Local Treasure,1495002-5221488,Long term,"Craigieburn, Dracophyllum Flat",Bicycle Counter - Twin Rail,National,Counter Electronic V,yellow,2020-12-02,171.708630874336,-43.1520746818622
100101370,ESI,Glentui,Gateway,1539027-5216900,Long term,Glentui Picnic Area - Pedestri,,National,Counter Electronic V,navy,2021-08-10,172.249526191601,-43.1982152768313
100101406,ESI,Moeraki campsites and activities,Local Treasure,1432977-4971339,Long term,Katiki Point Walking Track,Track,National,Counter Electronic V,blue,2021-05-21,170.866241918398,-45.3915340473284
100101407,SSI,Sandymount tracks,Gateway,1419584-4915567,Long term,Sandymount Walking Track,Pedestrian,National,Counter Electronic V,yellow,2021-01-05,170.674609792779,-45.8897993846379
100101452,LNI,Pukaha Mt Bruce,Icon,1823091-5488709,Long term,Pukaha Loop Track - Redwoods,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-08-08,175.641443664402,-40.7223390317213
100101453,LNI,Pukaha Mt Bruce,Icon,1823014-5488800,Long term,Pukaha Loop Track - Aviary 2,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-08-08,175.640500505369,-40.7215409669059
100101454,LNI,Remutaka Rail Trail,Gateway,1787235-5440383,Long term,Rimutaka Rail Trail - MTB,Bicycle Counter - Twin Rail,National,Counter Electronic V,navy,2021-07-04,175.231839286165,-41.1662795377914
100101474,NSI,Nydia Walkway,Back Country,1664268-5448257,Long term,"Nydia Tk, Duncan Bay end",Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-08-03,173.765493972063,-41.1144361205661
100101475,NSI,Queen Charlotte Drive activities,Local Treasure,1665563-5431320,Long term,Cullen Point Lookout Track,Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-06-10,173.782732251298,-41.2668858545677
100101477,NSI,Picton walks and campsites,Local Treasure,1689205-5432575,Long term,Karaka Point Track,Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-08-02,174.064761162503,-41.2533182898882
100101624,HWT,Egmont National Park backcountry,Back Country,1684849-5666853,Long term,Davies Track,,National,Counter Electronic V,blue,2021-04-06,173.981848770719,-39.1433820745582
100101625,HWT,Egmont National Park backcountry,Back Country,1694529-5654744,Long term,Kokowai Track,Pedestrian Counter - Pad,National,Counter Electronic V,blue,2021-04-07,174.095538055219,-39.2514795890597
100102032,NSI,Molesworth Road Corridor,Gateway,1596366-5306331,Long term,"Molesworth Road, Acheron",Vehicle Counter - Low Speed,National,Counter Electronic V,red,2019-11-05,172.955846118523,-42.3953054737661
100102033,NSI,Molesworth Road Corridor,Gateway,1622389-5340688,"","Molesworth Road, Cobb Cottage",Vehicle Counter - Low Speed,National,Counter Electronic V,blue,2021-05-12,173.270703872891,-42.0855656391022
100102201,SSI,Owaka walks and picnic areas,Local Treasure,1346000-4847700,"",Pounawea Nature Walk,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-07-26,169.691112081442,-46.4763820144203
100102208,ESI,Talbot Forest,Gateway,1458950-5117151,"","Talbot Forest, Totara Track",,National,Counter Electronic V,red,2018-06-26,171.238188988294,-44.0852370289378
100102236,ESI,Banks Peninsula/islands walks/picnicking,Local Treasure,1601268-5155688,Long term,Otepatotu Scenic Reserve Track,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-07-12,173.015750083147,-43.7518492064552
100102438,HWT,Northern Coromandel walks and camping,Local Treasure,1834108-5933065,"",Opera Point HistoricWalk,Track,National,Counter Electronic V,blue,2021-05-13,175.62126575023,-36.7192795274558
100102439,HWT,Cathedral Cove,Icon,1848847-5920476,"",Cathedral Cove Track,Track,National,Counter Electronic V,blue,2021-05-12,175.790231904376,-36.8288846132119
100102823,ESI,Banks Peninsula backcountry,Back Country,1574371-5160903,Long term,"Te Ara Pataka Tk, Gebbies Pass",Track,National,Counter Electronic V,navy,2021-06-25,172.681908033255,-43.7044521509408
100102880,WSI,Lyell campsite/walk,Local Treasure,1520960-5372305,Long term,Old Ghost Rd Lyell Campsite Rd,Vehicle Counter - Low Speed,National,Counter Electronic V,navy,2021-07-26,172.048633803573,-41.7971787991754
100102972,HWT,Egmont National Park walks/picnic areas,Local Treasure,1680959-5666416,"",Lucy's Gully,Vehicle Counter - Pneumatic,National,Counter Electronic V,navy,2021-08-04,173.936892738875,-39.1476898984789
100103055,NSI,Queen Charlotte Track,Gateway,1681644-5436508,Long term,"Queen Charlotte tk, Te Mahia",Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-06-29,173.973999254346,-41.2186946634069
100103056,NSI,Mistletoe Bay Walks,Local Treasure,1681378-5436045,Short term,"Mistletoe Bay, Peninsula Walk",Pedestrian Counter - Pad,Regional,Counter Electronic V,red,2020-06-04,173.970888030195,-41.222891512808
100103061,NSI,West Mt Richmond FP/Red Hills backcntry,Back Country,1600250-5394683,Long term,"Alpine Route, Richmond Range",Pedestrian Counter - Pad,Regional,Counter Electronic V,red,2019-05-10,173.002999946463,-41.5995564868083
100103064,NSI,Wangapeka Valley,Gateway,1565808-5412101,Long term,Wangapeka Road,Vehicle Counter - Low Speed,National,Counter Electronic V,yellow,2020-09-29,172.590698126542,-41.4419371627836
100103065,NSI,Wangapeka Valley,Gateway,1564983-5411839,Long term,"Wangapeka Tk, Rolling Jnct",Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-04-20,172.580807369641,-41.4442615167265
100103066,NSI,Totaranui Campground,Gateway,1600111-5480866,Long term,Totaranui Campground Rd,Vehicle Counter - Low Speed,National,Counter Electronic V,yellow,2021-03-29,173.001316322749,-40.8232280404498
100103067,NSI,Puponga Farm Park,Gateway,1577877-5514307,Long term,"Farewell Spit, Triangle Flat",Vehicle Counter - Low Speed,National,Counter Electronic V,blue,2021-08-16,172.738828000452,-40.5216712282539
100103068,NSI,Cobb Valley,Gateway,1573493-5449219,Long term,Cobb Valley Reservior Rd,Vehicle Counter - Low Speed,National,Counter Electronic V,navy,2021-07-28,172.684306351702,-41.1078809860301
100103073,WSI,Franz Josef Glacier backcountry,Back Country,1370812-5190119,Long term,Alex Knob Track,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-07-12,170.169486738228,-43.4067848360252
100103074,WSI,Lake Paringa/Munro Beach activities,Local Treasure,1299481-5153020,Long term,Monro Beach Walk,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-08-05,169.269605314488,-43.7149548975679
100103076,WSI,Franz Josef Valley walk,Icon,1370720-5188220,Long term,Franz Josef Valley Walk,Pedestrian Counter - Pad,National,Counter Electronic V,yellow,2021-03-30,170.167555348338,-43.4238352169523
100103077,WSI,Fox Glacier walk,Icon,1361045-5179835,Long term,Fox Glacier Walk,Pedestrian Counter - Pad,National,Counter Electronic V,red,2018-11-09,170.044513018,-43.4962149297005
100103078,WSI,Lake Paringa/Munro Beach activities,Local Treasure,1310965-5152795,Long term,Lake Paringa Campsite Road,Vehicle Counter - Low Speed,National,Counter Electronic V,red,,169.411756240797,-43.7215376442094
100103996,SSI,West Matukituki tracks,Gateway,1254616-5066302,"",West Matukituki Track,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-07-28,168.657434914372,-44.4739835219429
100103997,SSI,West Matukituki tracks,Gateway,1261243-5062809,"","Rob Roy Tk, Big Creek",Pedestrian Counter - Structure,National,Counter Electronic V,navy,2021-07-29,168.73823844484,-44.5084777935411
100103998,SSI,Wanaka/Lake Hawea activities,Local Treasure,1288021-5045750,"",Roy's Peak Track,Pedestrian Counter - Structure,National,Counter Electronic V,navy,2021-07-01,169.063954938479,-44.6737563936842
100103999,SSI,Wanaka/Lake Hawea activities,Local Treasure,1310697-5073695,"",Dingle Burn Peninsula Track,Pedestrian Counter - Structure,National,Counter Electronic V,yellow,2020-12-04,169.365127628353,-44.4321831364021
100104210,WSI,Lake Daniells/Marble Hill,Gateway,1541450-5316120,Short term,"Lake Daniell Track, Lake end",Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-09-06,172.28962475639,-42.3049528370424
100104362,AKL,Goat Island Bay Marine Reserve,Icon,1761047-5984013,Long term,Goat Island Bay Road,Vehicle Counter - High Speed,National,Counter Electronic V,red,,174.79304411914,-36.2754063732502
100104366,AKL,Auckland walks,Local Treasure,1754145-5943136,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-08-09,174.724370338376,-36.6448834397058
100104368,AKL,South Auckland backcountry,Back Country,1780085-5879185,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-05-16,175.029624416996,-37.2164594484719
100104374,CNI,Tongariro Alpine Crossing,Icon,1829986-5665630,"","Tongariro Xing, North Crater",,National,Counter Electronic V,blue,2021-04-02,175.660590465871,-39.1281611618866
100121219,LNI,Gisborne walks and historic site,Local Treasure,2031990-5716322,"",Gray's Bush Scenic Reseve,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-06-08,177.959375616311,-38.5964750037931
100121454,SSI,Wanaka/Lake Hawea activities,Local Treasure,1296398-5044215,"","Mt Iron Tk, Albert Town Link",Track,National,Counter Electronic V,navy,2021-07-28,169.168493475378,-44.6911351457873
